 #,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Parent Genres,Album,Album Date ,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,Label,ISRC
1,"Aava","Edea",105,8B,52,2025-03-16,03:01,9,"","","Edea",1900-01-01,50,31,14,36,0,0,-8,C,4,5twxOqAWxbJRPXxZreRgli,"OY EMI Finland AB",FIEFE9800059
2,"Aava","Edea",105,8B,52,2025-03-16,03:01,9,"","","Edea",1900-01-01,50,31,14,36,0,0,-8,C,4,5twxOqAWxbJRPXxZreRgli,"OY EMI Finland AB",FIEFE9800059
3,"La belle amour","Paule Desjardins, Paul Durand Et Son Orchestre",68,6B,14,2025-03-16,03:08,1,"","","La chanson de Lima (feat. Paul Durand et son orchestre) [Mono Version]",1957-01-01,24,95,0,40,0,30,-18,A#/B♭,4,1pMDLjdoyAOfucSkDWSVJQ,"BNF Collection",FRS181447403
4,"La belle amour","Paule Desjardins, Paul Durand Et Son Orchestre",68,6B,14,2025-03-16,03:08,1,"","","La chanson de Lima (feat. Paul Durand et son orchestre) [Mono Version]",1957-01-01,24,95,0,40,0,30,-18,A#/B♭,4,1pMDLjdoyAOfucSkDWSVJQ,"BNF Collection",FRS181447403
5,"L'enfant que j'étais","Lys Assia, Jerry Mengo Et Son Orchestre, Les Blue Stars",121,6B,12,2025-03-22,03:11,2,"schlager, vocal jazz, french jazz","Jazz, Easy Listening, Pop","Histoire d'un amour (Mono Version)",1958-01-01,35,98,0,43,0,10,-18,A#/B♭,4,01sQcEG7fSc0gj2pDuQjki,"BNF Collection",FRS181413539
6,"L'enfant que j'étais","Lys Assia, Jerry Mengo Et Son Orchestre, Les Blue Stars",121,6B,12,2025-03-22,03:11,2,"schlager, vocal jazz, french jazz","Jazz, Easy Listening, Pop","Histoire d'un amour (Mono Version)",1958-01-01,35,98,0,43,0,10,-18,A#/B♭,4,01sQcEG7fSc0gj2pDuQjki,"BNF Collection",FRS181413539
7,"Lilla Stjärna","Alice Babs",173,6B,24,2025-03-22,02:34,6,"big band","Jazz","TætPå (Vol. 1)",1959-00-00,24,99,0,25,0,30,-12,A#/B♭,3,5jaPX2VglcZJXghJey87O8,"Wildcard",DKNA21404319
8,"Lilla Stjärna","Alice Babs",173,6B,24,2025-03-22,02:34,6,"big band","Jazz","TætPå (Vol. 1)",1959-00-00,24,99,0,25,0,30,-12,A#/B♭,3,5jaPX2VglcZJXghJey87O8,"Wildcard",DKNA21404319
9,"Ma petite chatte","Fud Leclerc, Willy Albimoor et son ensemble",143,5A,16,2025-03-16,02:57,3,"","","Dans le bleu du ciel bleu (Mono Version)",1959-01-01,50,94,0,57,0,10,-20,C minor,4,7f0mdKaCoMkTDmJSKk9Z75,"BNF Collection",FRS181483784
10,"Ma petite chatte","Fud Leclerc, Willy Albimoor et son ensemble",143,5A,16,2025-03-16,02:57,3,"","","Dans le bleu du ciel bleu (Mono Version)",1959-01-01,50,94,0,57,0,10,-20,C minor,4,7f0mdKaCoMkTDmJSKk9Z75,"BNF Collection",FRS181483784
11,"Wat Een Geluk","Rudi Carrell",136,4B,49,2025-03-16,02:31,21,"schlager, schlagerparty, neue deutsche welle","Pop, Rock, Easy Listening","Wat Een Geluk",1960-09-13,69,78,2,83,10,30,-12,G#/A♭,4,23m199vGQ4pRqRsjz6pWoa,"Omega",NLE321800020
12,"Wat Een Geluk","Rudi Carrell",136,4B,49,2025-03-16,02:31,21,"schlager, schlagerparty, neue deutsche welle","Pop, Rock, Easy Listening","Wat Een Geluk",1960-09-13,69,78,2,83,10,30,-12,G#/A♭,4,23m199vGQ4pRqRsjz6pWoa,"Omega",NLE321800020
13,"Printemps, avril carillonne","Jean-Paul Mauric, Alan Gate et son orchestre",95,12A,28,2025-03-16,03:00,3,"","","Printemps, avril carillonne (feat. Alan Gate Et Son Orchestre) [Mono version]",1961-01-01,63,91,0,88,0,30,-15,C♯/D♭ minor,4,7vmANwJM8aty7EnbKITIhg,"BNF Collection",FRS181468415
14,"Printemps, avril carillonne","Jean-Paul Mauric, Alan Gate et son orchestre",95,12A,28,2025-03-16,03:00,3,"","","Printemps, avril carillonne (feat. Alan Gate Et Son Orchestre) [Mono version]",1961-01-01,63,91,0,88,0,30,-15,C♯/D♭ minor,4,7vmANwJM8aty7EnbKITIhg,"BNF Collection",FRS181468415
15,"Le retour","Jean Philippe",119,6A,27,2025-03-22,02:52,1,"","","Le retour (feat. Jean Bouchety et son orchestre) [Mono Version]",1962-01-01,35,62,0,32,0,0,-15,G minor,3,07Z83JIVcwewNHg2IUqjC7,"BNF Collection",FRS181450351
16,"Le retour","Jean Philippe",119,6A,27,2025-03-22,02:52,1,"","","Le retour (feat. Jean Bouchety et son orchestre) [Mono Version]",1962-01-01,35,62,0,32,0,0,-15,G minor,3,07Z83JIVcwewNHg2IUqjC7,"BNF Collection",FRS181450351
17,"Bien plus fort","Tereza Kesovija",116,7B,57,2025-03-16,01:52,2,"","","Grand prix Eurovision 1966",1966-00-00,31,82,0,71,0,10,-8,F,3,6Db1NbH5ciwaDd7bfZSFRV,"Parlophone (France)",FRZ111400202
18,"Bien plus fort","Tereza Kesovija",116,7B,57,2025-03-16,01:52,2,"","","Grand prix Eurovision 1966",1966-00-00,31,82,0,71,0,10,-8,F,3,6Db1NbH5ciwaDd7bfZSFRV,"Parlophone (France)",FRZ111400202
19,"Él y Ella","Madalena Iglesias",154,4B,64,2025-03-16,02:05,0,"fado","Folk, Traditional Music","Él y Ella",1966-00-00,54,75,0,84,10,30,-10,G#/A♭,4,7k0RJUWh99X8ZtfNRYP5QV,"Belter",ES5371800442
20,"Él y Ella","Madalena Iglesias",154,4B,64,2025-03-16,02:05,0,"fado","Folk, Traditional Music","Él y Ella",1966-00-00,54,75,0,84,10,30,-10,G#/A♭,4,7k0RJUWh99X8ZtfNRYP5QV,"Belter",ES5371800442
