  #,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Parent Genres,Album,Album Date ,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,Label,ISRC
1,"SERVING - Eurovision Official Version","Miriana Conte",122,9A,71,2025-05-18,02:59,49,"","","SERVING",2025-04-23,77,3,0,85,0,10,-5,E minor,4,2lide7NEaVQGRtiHm61uCW,"Sony Music Sweden",SEBGA2500523
2,"SURVIVOR","PARG",132,7A,80,2025-05-18,02:58,50,"","","SURVIVOR",2025-03-21,55,1,0,22,0,30,-5,D minor,4,4FqL1MlFQ67DipYCbmHzj8,"PARG",QM6MZ2540690
3,"La poupée monte le son","Laura Thorn",132,9B,73,2025-05-18,02:58,52,"","","La poupée monte le son",2025-03-18,73,2,0,63,0,0,-5,G,4,6IabIimt88FcZu80dunXWA,"Ily8",FR9W12513083
4,"Freedom - Eurovision 2025 - Georgia","Mariam Shengelia",153,9B,72,2025-05-18,02:50,35,"","","Freedom (Eurovision 2025 - Georgia)",2025-03-17,35,12,0,25,10,30,-8,G,5,5mjD2U1w6217p73LC9MEht,"Universal Music A/S",DKUM72500106
5,"maman","Louane",88,6A,58,2025-05-18,03:00,57,"french pop, chanson, variété française","","maman",2025-03-15,44,9,0,24,0,10,-6,G minor,4,1iJ9cSEWYQsd2M7ROFyIZx,"Universal Music Division Island Def Jam",FRUM72500333
6,"Bird of Pray - Eurovision 2025","Ziferblat",134,11A,63,2025-05-18,03:00,49,"","","Bird of Pray (Eurovision 2025)",2025-03-14,52,3,0,29,0,10,-5,F#/G♭ minor,4,5lmoGiZquqsW9sNxJQGRHn,"Geisha Ninja Samurai",FR59R2548234
7,"Esa Diva","Melody",127,2B,90,2025-05-18,02:58,23,"flamenco pop","","Esa Diva",2025-03-14,72,6,0,55,0,10,-4,F#/G♭,4,6utHjfvlsCAj0V6Wg6mXqx,"RUMBERA RECORD distributed by Altafonte",ES71G2508758
8,"Shh","Theo Evan",142,9B,95,2025-05-18,02:57,45,"","","Shh",2025-03-11,48,0,0,30,10,30,-5,G,4,3mwqwFYIrO8hE3YBN8gk14,"K2ID PRODUCTIONS LIMITED",GXD7G2537457
9,"Voyage","Zoë Më",170,5A,24,2025-05-18,02:59,57,"","","Voyage",2025-03-10,33,83,0,45,0,10,-10,C minor,3,4Y0lQy86Qz9ncQwgTTS2rc,"Warner Music Central Europe",DEA622500652
10,"Deslocado","NAPA",76,2B,46,2025-05-18,02:59,75,"","","Deslocado",2025-03-10,57,15,0,41,0,10,-8,F#/G♭,4,31CsSZ9KlQmEu0JvWSkM3j,"NAPA",PTUM72500004
11,"Dobrodošli - Eurovision 2025","Nina Zizic",82,7A,73,2025-05-18,03:23,29,"","","Dobrodošli (Eurovision 2025)",2025-03-10,39,17,0,19,0,10,-4,D minor,4,19Tty48pp2obWcLiRbEAVG,"Dimitrov",QZNFJ2425736
12,"What The Hell Just Happened?","Remember Monday",136,9B,64,2025-05-18,02:56,51,"","","What The Hell Just Happened?",2025-03-07,35,1,0,36,0,20,-5,G,4,39psNd97jsWTYIXrLOTco2,"The Other Songs",QM4TX2580378
13,"Kiss Kiss Goodbye","ADONXS",186,8A,53,2025-05-18,02:56,48,"","","Kiss Kiss Goodbye",2025-03-07,27,10,0,32,0,30,-8,A minor,3,2ceIi1kJxozE30OURIMkfN,"WM Czech Republic",CZA232500093
