,R/O,Year,Host_City,Country,Contestant,Song,Points,Place,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,1,2019,Tel-Aviv,Malta,Michela,Chameleon,107,14th,51FonRnKwkcXS6e0qwpEeY,0.7140000000000001,0.696,10.0,-3.72,0.0,0.0728,0.278,0.0,0.175,0.853,98.046,180920.0,4.0
1,2,2019,Tel-Aviv,Albania,Jonida Maliqi,Ktheju tokës,90,17th,7p83db7oriaCul8WzoLr6f,0.531,0.611,1.0,-5.119,1.0,0.0387,0.0162,0.0,0.11,0.597,115.05799999999999,194452.0,4.0
2,3,2019,Tel-Aviv,Czech Republic,Lake Malawi,Friend of a Friend,157,11th,2U7Zc6NrWQgUWdBAIFrzdI,0.7020000000000001,0.7390000000000001,9.0,-4.891,0.0,0.0588,0.26899999999999996,1.93e-06,0.0728,0.41,105.98299999999999,172642.0,4.0
3,4,2019,Tel-Aviv,Germany,S!sters,Sister,24,25th,,,,,,,,,,,,,,
4,5,2019,Tel-Aviv,Russia,Sergey Lazarev,Scream,370,3rd,,,,,,,,,,,,,,
5,6,2019,Tel-Aviv,Denmark,Leonora,Love Is Forever,120,12th,43k9g3vEP8z0qgkoyHjWV3,0.733,0.42,1.0,-4.604,1.0,0.0323,0.5760000000000001,0.0,0.0682,0.794,136.03,181013.0,4.0
6,7,2019,Tel-Aviv,San Marino,Serhat,Say Na Na Na,77,19th,1QiX3OmiJ3AyClandLJoEj,0.6759999999999999,0.922,1.0,-4.754,0.0,0.0763,0.000571,0.000153,0.361,0.742,118.03200000000001,178930.0,4.0
7,8,2019,Tel-Aviv,North Macedonia,Tamara Todevska,Proud,305,7th,,,,,,,,,,,,,,
8,9,2019,Tel-Aviv,Sweden,John Lundvik,Too Late For Love,334,5th,6kIdjk3D8XxA2UafE0THGK,0.401,0.746,0.0,-4.155,1.0,0.0734,0.19699999999999998,0.0,0.0657,0.41700000000000004,104.25200000000001,178133.0,4.0
9,10,2019,Tel-Aviv,Slovenia,Zala Kralj & Gašper Šantl,Sebi,105,15th,,,,,,,,,,,,,,
10,11,2019,Tel-Aviv,Cyprus,Tamta,Replay,109,13th,,,,,,,,,,,,,,
11,12,2019,Tel-Aviv,The Netherlands,Duncan Laurence,Arcade,498,1st,1Xi84slp6FryDSCbzq4UCD,0.45,0.32899999999999996,9.0,-12.603,0.0,0.0441,0.818,0.00109,0.135,0.266,71.884,183624.0,3.0
12,13,2019,Tel-Aviv,Greece,Katerine Duska,Better Love,74,21st,0QvJ5pNWlnMiLIxr7M6t3N,0.369,0.685,8.0,-5.19,1.0,0.062,0.006690000000000001,0.0,0.0923,0.353,176.08,181360.0,4.0
13,14,2019,Tel-Aviv,Israel,Kobi Marimi,Home,35,23rd,,,,,,,,,,,,,,
14,15,2019,Tel-Aviv,Norway,KEiiNO,Spirit in the Sky,331,6th,7B7O5jgFpWfc9orZw6FN4K,0.61,0.754,9.0,-6.468999999999999,0.0,0.0585,0.135,0.0,0.107,0.35700000000000004,121.95200000000001,185158.0,4.0
15,16,2019,Tel-Aviv,United Kingdom,Michael Rice,Bigger Than Us,11,26th,45VugoW5rHn10hloUhEPcV,0.519,0.545,0.0,-8.124,1.0,0.0345,0.0146,0.0,0.0861,0.568,82.025,178098.0,4.0
16,17,2019,Tel-Aviv,Iceland,Hatari,Hatrið mun sigra,232,10th,1JBqLoGfH1LnGTE0wzAatU,0.569,0.672,4.0,-9.721,0.0,0.0755,0.0008039999999999999,1.56e-05,0.0902,0.48200000000000004,109.91799999999999,178920.0,3.0
17,18,2019,Tel-Aviv,Estonia,Victor Crone,Storm,76,20th,,,,,,,,,,,,,,
18,19,2019,Tel-Aviv,Belarus,ZENA,Like It,31,24th,,,,,,,,,,,,,,
19,20,2019,Tel-Aviv,Azerbaijan,Chingiz,Truth,302,8th,,,,,,,,,,,,,,
20,21,2019,Tel-Aviv,France,Bilal Hassani,Roi,105,16th,5PBSQUx6KNuKN4nLT21EKy,0.5489999999999999,0.669,6.0,-6.7379999999999995,0.0,0.0388,0.212,0.0,0.121,0.5429999999999999,140.075,178267.0,4.0
21,22,2019,Tel-Aviv,Italy,Mahmood,Soldi,472,2nd,4szQkW1CDHqbRZGltXJdd3,0.7290000000000001,0.589,3.0,-9.871,0.0,0.0483,0.0361,0.0,0.305,0.349,95.065,195133.0,4.0
22,23,2019,Tel-Aviv,Serbia,Nevena Božović,Kruna,89,18th,0D0yCWxBoaQb55KN3xtvpS,0.2,0.47600000000000003,8.0,-6.4110000000000005,0.0,0.0305,0.21,0.0,0.126,0.162,158.483,187125.0,3.0
23,24,2019,Tel-Aviv,Switzerland,Luca Hänni,She Got Me,364,4th,19n68Fcyr7LCfDCKdscjLI,0.6629999999999999,0.755,11.0,-5.896,0.0,0.0516,0.0577,1.01e-05,0.0796,0.479,97.045,180816.0,4.0
24,25,2019,Tel-Aviv,Australia,Kate Miller-Heidke,Zero Gravity,284,9th,4m5FlWpaOri9OrDUj1EoTg,0.45899999999999996,0.539,6.0,-2.415,1.0,0.0413,0.57,3.42e-06,0.413,0.258,131.504,177444.0,4.0
25,26,2019,Tel-Aviv,Spain,Miki,La Venda,54,22nd,,,,,,,,,,,,,,
26,1,2018,Lisbon,Ukraine,MELOVIN,Under The Ladder,130,17th,1wPd8pG0VVlffxSuJEV8ko,0.573,0.746,10.0,-6.272,0.0,0.0392,0.00246,2.61e-05,0.10300000000000001,0.47100000000000003,139.94899999999998,180010.0,4.0
27,2,2018,Lisbon,Spain,Amaia y Alfred,Tu Canción,61,23rd,,,,,,,,,,,,,,
28,3,2018,Lisbon,Slovenia,Lea Sirk,"Hvala, ne!",64,22nd,28J9JZ6boWgzviW7Ut3TMN,0.813,0.595,1.0,-8.471,1.0,0.0475,0.0148,0.000164,0.1,0.359,140.066,180000.0,4.0
29,4,2018,Lisbon,Lithuania,Ieva Zasimauskaitė,When We're Old,181,12th,5vFiuwlEfEcEwPvS5e1icS,0.35700000000000004,0.262,10.0,-12.828,1.0,0.0375,0.8420000000000001,0.007940000000000001,0.142,0.0804,179.09099999999998,179500.0,4.0
30,5,2018,Lisbon,Austria,Cesár Sampson,Nobody But You,342,3rd,,,,,,,,,,,,,,
31,6,2018,Lisbon,Estonia,Elina Nechayeva,La Forza,245,8th,32GxSibwrYAGW4ZZ45CGHA,0.23199999999999998,0.597,2.0,-8.256,0.0,0.0413,0.495,1.58e-06,0.26899999999999996,0.262,93.90299999999999,184884.0,4.0
32,7,2018,Lisbon,Norway,Alexander Rybak,That's How You Write A Song,144,15th,4ixnY07lxMziatNqonUB8d,0.7609999999999999,0.78,5.0,-9.519,0.0,0.05,0.11900000000000001,3.62e-06,0.0575,0.9009999999999999,104.01899999999999,180879.0,4.0
33,8,2018,Lisbon,Portugal,Cláudia Pascoal,O Jardim,39,26th,6PV9CN9a7wHYPQvlXqkWwM,0.503,0.314,10.0,-10.411,1.0,0.0361,0.843,8.34e-06,0.275,0.0967,120.42200000000001,158417.0,4.0
34,9,2018,Lisbon,United Kingdom,SuRie,Storm,48,24th,,,,,,,,,,,,,,
35,10,2018,Lisbon,Serbia,Sanja Ilić & Balkanika,Nova Deca,113,19th,,,,,,,,,,,,,,
36,11,2018,Lisbon,Germany,Michael Schulte,You Let Me Walk Alone,340,4th,07qlsG6DYRLBbovwca9Vbr,0.451,0.27899999999999997,11.0,-9.953,1.0,0.03,0.7829999999999999,0.0,0.10300000000000001,0.424,74.786,177886.0,4.0
37,12,2018,Lisbon,Albania,Eugent Bushpepa,Mall,184,11th,,,,,,,,,,,,,,
38,13,2018,Lisbon,France,Madame Monsieur,Mercy,173,13th,,,,,,,,,,,,,,
39,14,2018,Lisbon,Czech Republic,Mikolas Josef,Lie To Me,281,6th,,,,,,,,,,,,,,
40,15,2018,Lisbon,Denmark,Rasmussen,Higher Ground,226,9th,,,,,,,,,,,,,,
41,16,2018,Lisbon,Australia,Jessica Mauboy,We Got Love,99,20th,7kqujRWNEBhrpYt0eV0uw5,0.606,0.82,7.0,-4.227,1.0,0.0731,0.00426,0.0,0.226,0.298,113.99,202247.0,4.0
42,17,2018,Lisbon,Finland,Saara Aalto,Monsters,46,25th,,,,,,,,,,,,,,
43,18,2018,Lisbon,Bulgaria,EQUINOX,Bones,166,14th,,,,,,,,,,,,,,
