song_key,artist_key,year,lyrics,to_country,matched_song_key,matched_artist_key,Album Date,danceability,energy,valence,tempo,acousticness,instrumentalness,speechiness,liveness,loudness,key,music_available,lyrics_translation,language,total_words,negative,positive,sentiment_score,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,dominant_theme,arc,ending,arc_fit_pct,total_emotion_words,joy_pct,fear_pct,sadness_pct,anger_pct,trust_pct,disgust_pct,anticipation_pct,surprise_pct
refrain,assia lys,1956,"(Refrain d'amour...)  Refrain, couleur du ciel, parfum de mes vingt ans Jardin plein de soleil où je courais enfant Partout je t'ai cherché, mon amoureux lointain Guettant par les sentiers où tu prenais ma main  Les jours s'en sont allés et nous avons grandi L'amour nous a blessés, le temps nous a guéris Mais seule et sans printemps Je cours en vain les bois, les champs Dis, souviens-toi nos amours d'autrefois?  Les années passent à tire-d'aile Et sur les toits de mon ennui coule la pluie Où sont parties les caravelles, volant mon cœur Portant mes rêves vers ton oubli? J'aurais voulu que tu reviennes comme jadis Porter des fleurs à ma persienne Et ta jeunesse en mon logis  Refrain, couleur de pluie, regret de mes vingt ans Chagrin, mélancolie de n'être plus enfant Mais seule et loin de toi, par les chemins où tu n'es pas Je vais, pleurant mes amours de vingt ans",Switzerland,refrain,assia lys,1953-12-17,40,28,33,104,95,0,0,0,-10,C,TRUE,"Chorus of love, or or or or
Chorus, color of the sky, fragrance of my twenties
Garden full of sunshine where I ran as a child
Everywhere, I was looking for you, my distant love
By watching the paths where you took my hand The days are gone and we have grown
Love hurt us, time healed us
But only and without spring
I run in vain, in the woods, the fields
Telling me to remember you, our love of another time The years pass, take wings
And on the roofs of my boredom, the rain flows
Where the caravel parties are
Driving my heart, supporting my dreams of your oblivion
I would agree you return like before
Take flowers in my blinds
And your youth in my home Chorus, color of the rain, regrets of my twenties
Grief, melancholy of no longer being a child
But only and far from you, by the paths where you are not
I'm mourning my love of twenty years",French,62,6,6,0,3,5,0,3,10,5,1,1,joy,fall-rise-fall,sad ending,63.63636363636363,28,35.714285714285715,10.714285714285714,17.857142857142858,10.714285714285714,3.571428571428571,0,17.857142857142858,3.571428571428571
de holland van vogels,jetty paerl,1956,"De vogels van Holland zijn zo muzikaal Ze leren in hun prille jeugd al tierelieren De merel, de lijster en de nachtegaal Om zo de lent' in Holland goed te kunnen vieren  't Is geen wonder, want nergens zijn de plassen zo blauw Als in Holland, mijnheer Als in Holland, mevrouw 't Is geen wonder, want nergens is het gras zo vol dauw Zijn de meisjes zo lief, zijn de meisjes zo trouw En daarom zijn de vogels hier allemaal Zo muzikaal Zo muzikaal Zo muzikaal  De hele wereld door heb ik vogels horen zingen In het zuiden, in het westen, in het noorden In vele verre landen heb ik vogels horen zingen Zij zingen kleine liedjes zonder woorden  De Franse vogels zingen tudeludelu Japanse vogels zingen tudeludelu Chinese vogels zingen tudeludelu Maar de vogels zingen nergens zo gelukkig en blij Als in Holland in het voorjaar in de wei  De vogels van Holland zijn zo muzikaal Ze leren in hun prille jeugd al tierelieren De merel, de lijster en de nachtegaal Om zo de lent' in Holland goed te kunnen vieren  't Is geen wonder, want nergens zijn de plassen zo blauw Als in Holland, mijnheer Als in Holland, mevrouw 't Is geen wonder want nergens is het gras zo vol dauw Zijn de meisjes zo lief, zijn de meisjes zo trouw En daarom zijn de vogels hier allemaal Zo muzikaal Zo muzikaal Zo muzikaal",Netherlands,de holland van vogels,jetty paer,2014-09-25,34,44,60,85,94,1,10,90,-13,G,TRUE,"The birds of Holland are so musical
They already learn to twitter in their early youth
The blackbird, the thrush and the nightingale
So they can celebrate spring in Holland It's no wonder, because nowhere the puddles are so blue
As in Holland, sir
As in Holland, madam
It's no wonder, because nowhere the grass is so full of dew Are the girls so sweet, are the girls so faithfull
And that's why all the birds here are
So musical, So musical, So musical Across the whole world I've heard birds sing
To the south, to the west, to the north
In many faraway countries I've heard birds sing
They sing little songs without words The French birds sing toodledoo
Japanese birds sing toodledoo
Chinese birds sing toodledoo
But nowhere the birds sing so happily and cheerfully
As in Holland in spring in the meadow The birds of Holland are so musical
They already learn to twitter in their early youth
The blackbird, the thrush and the nightingale
So they can celebrate the spring in Holland It's no wonder, because nowhere the puddles are so blue
 As in Holland, sir
 As in Holland, madam
It's no wonder, because nowhere the grass is so full of dew Are the girls so sweet, are the girls so faithfull
And that's why all the birds here are
So musical, So musical, So musical",Dutch,90,0,5,5,11,19,0,2,20,17,12,19,joy,fall,sad ending,3.7037037037037033,100,20,2,17,11,19,0,19,12
de la les messieurs noyés seine,fud leclerc,1956,"Messieurs les noyés de la Seine Ouvrez-moi les portes de l'eau Je suis fatigué d'user mes semaines Sur le pavé noir de Puteaux  Messieurs les noyés de la Seine Ouvrez-moi les portes de l'eau J'ai tant voyagé sous son ciel de laine Que le vent m'a brûlé la peau  Je suis depuis toujours marié à la misère Je n'ai connu l'amour que sur un lit de pierre Le soleil pour les riches, la lune pour les gueux Pourquoi, si tout le monde triche, jouer encore le jeu?  Messieurs les noyés de la Seine Ouvrez-moi les portes de l'eau Je suis fatigué de n'avoir pour ciel Que les ponts rouillés de Puteaux  Messieurs les noyés de la Seine J'ai tant regardé les bateaux Que d'Aubervilliers jusqu'à Bourg-la-Reine Je porte Paris sur mon dos  La fille que j'aimais ne m'a jamais aimé Les copains que j'avais m'ont tous abandonné Je fais le tour du monde pour trouver le printemps Mais comme la terre est ronde, ça peut durer longtemps  Messieurs les noyés de la Seine Ouvrez-moi les portes de l'eau Je suis fatigué de voir la dégaine Des enfants trahis de Puteaux  Messieurs les noyés de la Seine Paris me doit bien un berceau Je m'endormirai sans amour ni haine Entre ses bras de sable et d'eau",Belgium,belgien de la les messieurs noyes seine,fud leclerq,2010-06-16,30,33,28,88,89,0,0,20,-9,G#/A♭ minor,TRUE,"Ye drowned men of the river Seine (1)
Open the water gates for me
I'm tired of spending my weeks
On the black paving of Puteaux (2) Ye drowned men of the river Seine
Open the water gates for me
I've been travelling so long under its woollen sky
So the wind has burnt my skin I'm married to misery forever
I've never known better than love on a stone bed
The sun for the rich, the moon for the clochards
Why playing the game, when everyone cheats? Ye drowned men of the river Seine
Open the water gates for me
I'm tired of only having for heaven
The rusty bridges of Puteaux Ye drowned men of the river Seine
I've watched the boats so much
That from Aubervilliers to Bourg-la-Reine (3)(4)
I'm carrying Paris on my back The girl I loved, never loved me
The friends I had, have all left me
I'm travelling around the world to find springtime
But since the earth is round, it might take a long time Ye drowned men of the river Seine
Open the water gates for me
 I'm tired of watching the strange appearance
Of the betrayed children of Puteaux Ye drowned men of the river Seine
Paris owes me a cradle
I'll fall asleep without love and hate
Between its arms of sand and water",French,102,9,6,-3,3,3,3,2,4,3,1,2,joy,rise-fall,sad ending,62.5,21,19.047619047619047,9.523809523809524,14.285714285714285,14.285714285714285,9.523809523809524,14.285714285714285,14.285714285714285,4.761904761904762
glück großen im wartesaal zum,andreas schwarz walter,1956,"Es gibt einen Hafen, da fährt kaum ein Schiff Und wenn eines fährt, so in unbestimmte Fernen Und es kommt, wenn es ankommt, von sehr weit schon her Und einer steigt aus und der kommt übers Meer Mit gläserner Fracht von den Sternen  Und man baute am Kai der Vergangenheit Einen Saal mit Blick auf das Meer Und mit Wänden aus Träumen gegen die Wirklichkeit Denn die liebte man nicht sehr  Im Wartesaal zum großen Glück Da warten viele, viele Leute Die warten seit gestern auf das Glück von morgen Und leben mit Wünschen von übermorgen Und vergessen, es ist ja noch heute Ach... die armen, armen Leute  Und sie blickten aufs Meer und sie sahen auch das Schiff Gerade als es abfuhr in unbestimmte Fernen Und sie jagten auf Träumen hinter ihm her Und sahen ihn nicht, wie er kam übers Meer Mit gläserner Fracht von den Sternen  Und er ging am Kai der Vergangenheit vorbei Und die im Saal, die liess er einfach stehn Ging grade aus in die Wirklichkeit Und da hat man ihn lächeln sehn  Im Wartesaal zum großen Glück Da warten viele, viele Leute Die warten seit gestern auf das Glück von morgen Und leben mit Wünschen von übermorgen Und vergessen, es ist ja noch heute Ha... die armen, armen Leute  Und es fuhren am Morgen die Fischer hinaus Und es glühte der Himmel bis in unbestimmte Fernen Und da kam er gegangen und ihre Netze waren leer Doch da holte er für sie die Sonne aus dem Meer Und trug sie empor zu den Sternen  Und sie glänzte weit durch die Wirklichkeit Und es tanzten die Boote im Licht Nur im Saal am Kai der Vergangenheit Da sah man die Sonne nicht  Im Wartesaal zum großen Glück Da warten viele, viele Leute Die warten seit gestern auf das Glück von morgen Und leben mit Wünschen von übermorgen Und vergessen, es ist ja noch heute Tja... die armen Leute",Germany,glück großen im wartesaal zum,andreas schwarz walter,2005-03-04,47,25,48,139,79,0,10,20,-13,C,TRUE,"There is a harbour
Where hardly any ship leaves from
And when one leaves
It leaves to unknown distance
And when it arrives it comes
From very far away
And someone gets off and he has crossed the sea
With a glassy load from the stars

And on the quay of the past they built
A room with a sea view
And with walls made of dreams
To avoid reality
Because they did not like it a lot

In the waiting room for great happiness
Many, many people are waiting there
They have been waiting since yesterday
For the happiness of tomorrow
Living with wishes for the day after tomorrow
And they forget that it is still today
Oh, these poor, poor people

And the watched the see
And they saw the ship, too
Just while it was leaving
To unknown distance
And on their dreams
They chased it
And they did not see him cross the sea
With a glassy load from the stars

And he passed the quay of the past
And he just went past the ones in the room
He went straightforward into reality
And then they saw him smile

In the waiting room for great happiness
Many, many people are waiting there
They have been waiting since yesterday
For the happiness of tomorrow
Living with wishes for the day after tomorrow
And they forget that it is still today
Well, these poor, poor people

And in the morning
The fishermen went out to sea
And the sky was glowing
Into unknown distance
And there he came
And their nets were empty
But then he fetched the sun out of the sea for them
And he carried it up to the stars

And it was shining far throughuot reality
And the boats were dancing in the light
Only there in the room on the quay of the past
The sun was not seen

In the waiting room for great happiness
Many, many people are waiting there
They have been waiting since yesterday
For the happiness of tomorrow
Living with wishes for the day after tomorrow
And they forget that it is still today
Well, these poor, poor people",German,113,9,9,0,1,20,0,5,10,1,3,4,anticipation,rise-fall,sad ending,33.33333333333333,44,22.727272727272727,11.363636363636363,2.272727272727273,2.272727272727273,9.090909090909092,0,45.45454545454545,6.8181818181818175
le perdu temps,altéry mathé,1956,"Chante, carillon Le chant du temps perdu Chante ta chanson à mon cœur éperdu Moi, je pleure celui que j'aime  Berce dans le soir Mon rêve et mes sanglots Verse en moi l'espoir de le revoir bientôt Hâte-toi, car j'attends toujours  Vienne le temps du bonheur Le temps d'amour qui seul peut calmer mon cœur  Coule le ruisseau Vers la mer qui t'attend Roule dans tes eaux toute la vie du printemps Moi, toujours j'attends ton retour  Les heures s'enfuient lentement dans la nuit Chacune d'elles monotone sonne Et j'attends le jour, imaginant toujours Que tu me rendras ton amour un jour  Chante, carillon Chante pour mon bonheur Chante ta chanson, si légère à mon cœur Chante aussi pour celui que j'aime  Berce dans le soir Nos étreintes d'amour Verse en moi l'espoir de le garder toujours Chante, j'oublie le temps perdu  Sonne, mais sans te presser L'heure d'amour qui nous retient enlacés  Coule le ruisseau Vers la mer qui t'attend Roule dans tes eaux toute la vie du printemps Moi, toujours j'attends ton retour",France,frankreich le perdu temp,altéry mathe,2010-06-16,38,31,22,105,98,0,0,20,-10,E,TRUE,"Sing, carillon
The song of lost time
Sing your song to my fiery heart
I cry for the one I love Lull in the evening
My dream and my sobs
Pour in me the hope to meet him soon
Hurry up, because I'm still waiting May come the time of happiness
The time of love, which only can calm down my heart Divert the river
Into the sea that is waiting for you
Cherish in these waters all life of springtime
I will always wait for your return The hours flee slowly in the night
Every hour rings monotonously
And I'm waiting for the day, always imagining
That you will give back your love to me one day Sing, carillon
Sing for my happiness
Sing your song, so softly to my heart
Also sing for the one I love Lull in the evening
Our love embraces
Pour in me the hope to keep him forever
Sing, I forget the lost time Ring, but you don't have to hurry
The hour of love keeps us clasped Divert the river
Into the sea that is waiting for you
Cherish in these waters all life of springtime
I will always wait for your return",French,84,7,12,5,0,23,0,1,19,10,4,11,anticipation,rise-fall-rise,happy ending,41.17647058823529,68,27.941176470588236,1.4705882352941175,14.705882352941178,0,16.176470588235293,0,33.82352941176471,5.88235294117647
crois ne pas,arnaud michèle,1956,"Si on te dit qu't'a une belle gueule Y a pas de quoi t'en vanter Et au lieu d'faire les belles gueules Tu f'rais mieux d'en profiter  Ne crois pas que tout' ta vie On t'aimera pour tes beaux yeux Car si ta gueule fait envie C'est qu't'es jeune et rien de mieux  Ne crois pas, ne crois pas Que tu s'ras toujours beau gosse Ne crois pas, ne crois pas Que ta jeunesse durera  Tu seras comme tout le monde Avec le teint décati Le bidon en mappemonde Et tout's les dents desserties  Quand t'auras le crâne bien lisse Le geste mal assuré Et le regard en coulisse T'iras de faire réparer  Ne crois pas, ne crois pas Que tu s'ras toujours beau gosse Ne crois pas, ne crois pas Que ta jeunesse durera  Tu t'crois malin A vouloir jouer les insondables Les intouchables Du début jusqu'à la Saint Glin-Glin  C'est pas sérieux Les Hermès, Adonis, les Hercules Qui déambulent Sans songer qu'un jour ils seront vieux  Si on te dit qu't'a une belle gueule Y a pas de quoi t'en vanter Et au lieu d'faire les belles gueules Tu f'rais mieux d'en profiter  Ne crois pas que tout' ta vie On t'aimera pour tes beaux yeux Car si ta gueule fait envie C'est qu't'es jeune et rien de mieux  Ne crois pas, ne crois pas Que tu s'ras toujours beau gosse Ne crois pas, ne crois pas Que ta jeunesse durera  Ne crois pas... ne crois pas... Ne crois pas que ta jeunesse durera",Luxembourg,crois ne pas,arnaud michèle,2001-09-20,69,27,53,139,86,0,0,20,-13,B,TRUE,"If they told you that you have a good look
There is nothing to boast about
And instead of playing the good look
You should take advantage of it Don't believe that all your life
You will be loved for your nice eyes
Because if your face makes other envious
It's because you're young and nothing better Don't believe, don't believe
That you will be always a handsome boy
Don't believe, don't believe
That your youth will last You will be like everybody
With faded colour
The belly as a globe
And all your teeth unset When you will have your skull quite smooth
Clumsy gesture
And sidelong glance
You'll go to be repaired Don't believe, don't believe
That you will always be a handsome boy
Don't believe, don't believe
That your youth will last You think you're clever
To play the unfathomable
The untouchable
From the start until never in a month of Sundays It's not serious
Hermes, Adonis, Hercules
Who stroll
Without thinking that one day they will get old If they told you that you have a good look
There is nothing to boast about
And instead of playing the good look
You should take advantage of it Don't believe that all your life
You will be loved for your nice eyes
Because if your face makes other envious
It's because you're young and nothing better Don't believe, don't believe
That you will always be a handsome boy
Don't believe, don't believe
That your youth will last Don't believe... don't believe...
Don't believe that your youth will last",French,56,3,13,10,4,5,1,4,4,0,4,0,anticipation,fall-rise-fall,sad ending,21.568627450980394,22,18.181818181818183,18.181818181818183,0,18.181818181818183,0,4.545454545454546,22.727272727272727,18.181818181818183
aprite finestre le,franca raimondi,1956,"La prima rosa rossa è già sbocciata E nascon timide le viole mammole Ormai, la prima rondine è tornata: Nel cielo limpido comincia a volteggiar Il tempo bello viene ad annunciar  Aprite le finestre al nuovo sole È primavera, è primavera Lasciate entrare un poco d'aria pura Con il profumo dei giardini e i prati in fior  Aprite le finestre ai nuovi sogni Bambine belle, innamorate È forse il più bel sogno che sognate Sarà domani la felicità:  Nel cielo fra le nuvole d'argento La luna ha già fissato appuntamento Aprite le finestre al nuovo sole È primavera, festa dell'amor  La la la la la la la la la la la Aprite le finestre al nuovo sol  Sul davanzale un piccolo usignolo Dall'ali tenere, le piume morbide Ha già spiccato il timido suo volo E contro i vetri ha cominciato a picchiettar Il suo più bel messaggio vuol portar:  È primavera, è primavera  Aprite le finestre ai nuovi sogni Alle speranze, all'illusione Lasciate entrare l'ultima canzone Che dolcemente scenderà nel cuor  Nel cielo fra le nuvole d'argento La luna ha già fissato appuntamento Aprite le finestre al nuovo sole È primavera, festa dell'amor  La la la la la la la la la la la Aprite le finestra al primo amor",Italy,aprite finestre le,franca raimondi,2013-02-22,81,27,93,122,81,0,0,0,-9,D,TRUE,"The first red rose has already blossomed
And sweet-smelling violets shyly come up
The first swallow is back by now
It's starting to whirl in the clear sky
It comes to announce nice weather Open your windows to the newly born sun
It's spring, it's spring
Let a little fresh air in
With the smell of gardens and flowery meadows Open your windows to new dreams
Beautiful little girls in love
It's maybe the most beautiful dream you dream
Tomorrow it will be happiness In the sky, among the silver clouds
The moon has already set a date
Open your windows to the newly born sun
It's spring, the festival of love La la la la la la la la la la la
Open your windows to the newly born sun On the window-sill a small nightingale
With tender wings and soft feathers
Has already shyly flown up
And it's started tapping on the glass
It wants to bring its most beautiful message: It's spring, it's spring Open your windows to new dreams
To hope, to illusion
Let the last song in
It will softly go down into your heart In the sky, among the silver clouds
The moon has already set a date
Open your windows to the new sun
It's spring, the festival of love La la la la la la la la la la la
Open your windows to the first love",Italian,112,3,13,10,1,10,2,0,17,0,9,7,joy,rise-fall,sad ending,21.21212121212121,46,36.95652173913043,0,0,2.1739130434782608,15.217391304347828,4.3478260869565215,21.73913043478261,19.565217391304348
voorbij voorgoed,brokken corry,1956,"Voorgoed voorbij Nu zijn we nooit meer samen M'n lieveling Wat heb ik jou gedaan?  Voorgoed voorbij Gesloten zijn je ramen Maar net als toen Zie ik viooltjes staan  De hele wereld geurt De lentebloesem kleurt Ach, waarom is er ieder jaar een nieuwe mei? Dat is voor mij voorgoed voorbij De lente van mijn leven Dat lachend getij 't Is alles voorbij  Voor jou was het maar spel Ik weet heel goed Je hebt het niet anders bedoeld Maar ik, ik meende 't wel 'k Heb het maar al te diep gevoeld  De hele wereld geurt De lentebloesem kleurt Ach, waarom is er ieder jaar een nieuwe mei? Dat is voor mij voorgoed voorbij De lente van mijn leven Dat lachend getij 't Is alles voorbij",Netherlands,voorbij voorgoed,brokken corry,2001-09-20,21,42,28,54,63,0,0,50,-11,F,TRUE,"Over for good
Now we'll never be together again
My darling
What have I done to you? Over for good
Your windows are closed
But just like then
I still see violets The whole world smells good
The spring-flower is colouring
Ah, why is there every year a new May?
For me, it's over forever
The spring of my life
That season of mirth
It's all over For you it was just a game
I know very well that
You didn't mean it that way
But me, I did mean it
I felt it very deeply The whole world smells good
The spring-flower is colouring
Ah, why is there every year a new May?
For me, it's over forever
The spring of my life
That season of mirth
It's all over",Dutch,28,2,1,-1,0,0,0,0,3,0,0,1,joy,fall-rise-fall,sad ending,46.666666666666664,4,75,0,0,0,25,0,0,0
beau de jour le ma plus vie,marc mony,1956,"Les cloches sonnent Tout carillonne Le plus beau jour de ma vie Aujourd'hui je me marie Ding dong, ding dong  Si maman pleure C'est bientôt l'heure Et papa m'offre le bras Nous partons à petits pas Ding dong, ding dong  Les tout petits enfants me suivent gravement Portant ma robe sous mon voile blanc Voici mon Prince Charmant, il sourit tendrement Je m'avance vers lui le cœur battant  Minute brève comme en un rêve Nos deux êtres pleins d'amour Vont être unis pour toujours Ding dong, ding dong  Quel instant émouvant Je suis tout étourdie Puis ta main sur ma main Simplement j'ai dit 'oui'  Orgue en sourdine, tout s'illumine Le portail est large ouvert Nous sortons sous le ciel clair Ding dong, ding dong  On nous admire et j'entends dire ""Regardez, elle est jolie"" ""Comme ils sont bien assortis"" Ding dong, ding dong  Un doux bonheur m'étreint tandis que sur ma main Tes yeux caressent mon anneau d'or fin L'espace d'un instant, je refais le serment De vivre pour t'aimer fidèlement  Les cloches sonnent Tout carillonne Pour que jamais je n'oublie Le plus beau jour de ma vie Ding dong, ding dong",Belgium,beau belgien de jour le ma plus vie,marc mony,2010-06-16,41,37,30,53,97,0,0,30,-8,C♯/D♭ minor,TRUE,"The bells are ringing
Everything is heralding
The most beautiful day of my life
I am getting married today
Ding dong
Ding dong If Mum cries
It will soon be time
And Dad is offering me his arm
We are going off with little steps
Ding dong
Ding dong The very small children
Are following me portly
Carrying my dress
Under my white veil
Here is my Charming Prince
He is smiling tenderly
I am approaching him
With my heart beating A short minute
Like in a dream
The two beings of us full of love
Will be united forever
Ding dong
Ding dong What a moving moment
I am feelng all dizzy
Then your hand on my hand
I simply said I do The organ is subdued
Everything is lighting up
The gate is wide open
We are leaving under the clear sky
Ding dong
Ding dong We are admired
And I hear them say
""Look, she is pretty""
How beautifully they are assembled
Ding dong
Ding dong Sweet happiness is grabbing me
While, on my hand
Your eyes are caressing
My ring of fine gold
The room of a moment
I repeat the vow
To live to
Love you faithfully The bells are ringing
Everything is heralding
That I will never forget
The most beautiful day of my life
Ding dong
Ding dong",French,98,14,14,0,1,7,0,2,10,1,1,6,joy,fall-rise,happy ending,70,28,35.714285714285715,7.142857142857142,3.571428571428571,3.571428571428571,21.428571428571427,0,25,3.571428571428571
das geht jede nacht so,freddy quinn,1956,"Am Sonntag mit Jimmy, am Montag mit Jack Am Dienstag, da gehst du mit Johnny weg  So geht das jede Nacht (So geht das jede Nacht) So geht das jede Nacht (So geht das jede Nacht) Das hätt ich nie, nie, nie von dir gedacht  Ich schenk dir Blumen und fahr dich ins Büro Führ deine Mutter jeden Sonntag in den Zoo Doch dich bringt am Mittwoch der Billy nach Haus Am Donnerstag gehst du mit Tommy aus  So geht das jede Nacht (So geht das jede Nacht) So geht das jede Nacht (So geht das jede Nacht) Das hätt ich nie, nie, nie von dir gedacht  Ich hab dich damals als Baby schon geliebt Jetzt hab ich Boogie und den Cha Cha Cha geübt Doch du tanzt am Freitag, am Freitag mit Ben Samstag mit einem, den ich nicht mal kenn  So geht das jede Nacht (So geht das jede Nacht) So geht das jede Nacht (So geht das jede Nacht) Das hätt ich nie, nie, nie von dir gedacht  Doch wenn du gedacht hast, ich sitze zuhaus Ich geh jeden Tag mit 'ner andren aus  So geht das jede Nacht (So geht das jede Nacht) So geht das jede Nacht (So geht das jede Nacht) Das hätt'st du nie, nie, nie von mir gedacht",Germany,das geht jede nacht so,freddy quinn,2005-03-04,69,62,87,97,70,0,0,30,-9,F,TRUE,"On Sunday with Jimmy, on Monday with Jack
On Tuesday you go off with Johnny That's how it is every night (That's how it is every night)
That's how it is every night (That's how it is every night)
I've never, never thought that of you I give you flowers and drive you to the office
Take your mother every Sunday to the zoo
But on Wednesday Billy brings you home
And on Thursday you go out with Tommy That's how it is every night (That's how it is every night)
That's how it is every night (That's how it is every night)
I've never, never thought that of you I've loved you since you were a baby
Now I've been practicing the boogie and the cha-cha-cha
But on Friday, on Friday you're dancing with Ben
Saturday with someone I don't even know That's how it is every night (That's how it is every night)
That's how it is every night (That's how it is every night)
I've never, never thought that of you But if you were thinking I've been sitting at home
I've been going out with someone else every day That's how it is every night (That's how it is every night)
That's how it is every night (That's how it is every night)
You've never, never thought that of me",German,50,0,1,1,0,1,0,0,2,1,0,1,joy,fall,sad ending,33.33333333333333,5,40,0,20,0,20,0,20,0
