year,round,total_points,tele_points,jury_points,from_country_name,to_country_name,capital_distance_km,border_distance_km
1957,final,6,NA,NA,Austria,Netherlands,933.914331450546,441.60828355554906
1957,final,0,NA,NA,Austria,France,1034.4754078707626,148.37584260404788
1957,final,0,NA,NA,Austria,Denmark,870.915436479947,651.4932816384953
1957,final,3,NA,NA,Austria,Luxembourg,763.8253604909239,318.5963322868109
1957,final,0,NA,NA,Austria,Germany,725.84305208041,0
1957,final,0,NA,NA,Austria,Italy,763.8150371626128,0
1957,final,1,NA,NA,Austria,United Kingdom,1234.3769273954856,715.5518868059814
1957,final,0,NA,NA,Austria,Belgium,915.4715325155743,354.33746415328346
1957,final,0,NA,NA,Austria,Switzerland,682.5004693901498,0
1957,final,0,NA,NA,Austria,Austria,0,0
1957,final,5,NA,NA,Belgium,Netherlands,173.39231340070373,0
1957,final,2,NA,NA,Belgium,France,261.48260690909154,0
1957,final,0,NA,NA,Belgium,Denmark,767.2078770327018,450.36330405006447
1957,final,0,NA,NA,Belgium,Luxembourg,186.51376036456966,0
1957,final,1,NA,NA,Belgium,Germany,194.81285183449728,0
1957,final,1,NA,NA,Belgium,Italy,1172.1882015457436,392.32603597943205
1957,final,1,NA,NA,Belgium,United Kingdom,318.9562193536296,80.24777008581204
1957,final,0,NA,NA,Belgium,Belgium,0,0
1957,final,0,NA,NA,Belgium,Switzerland,492.0101568234278,243.314987713352
1957,final,0,NA,NA,Belgium,Austria,915.4715325155743,354.33746415328346
1957,final,3,NA,NA,Denmark,Netherlands,621.2874448283054,201.91734551894137
1957,final,2,NA,NA,Denmark,France,1026.684677433644,587.0492715459067
1957,final,0,NA,NA,Denmark,Denmark,0,0
1957,final,0,NA,NA,Denmark,Luxembourg,801.411638451927,554.3479871739744
1957,final,0,NA,NA,Denmark,Germany,658.9095683669849,0
1957,final,1,NA,NA,Denmark,Italy,1531.9424277221522,830.9265061924998
1957,final,0,NA,NA,Denmark,United Kingdom,955.3462648445892,514.7014898114614
1957,final,2,NA,NA,Denmark,Belgium,767.2078770327018,450.36330405006447
1957,final,2,NA,NA,Denmark,Switzerland,1035.9465500135414,780.4749220477622
1957,final,0,NA,NA,Denmark,Austria,870.915436479947,651.4932816384953
1957,final,4,NA,NA,France,Netherlands,428.01602517217225,54.84756219900045
1957,final,0,NA,NA,France,France,0,0
1957,final,0,NA,NA,France,Denmark,1026.684677433644,587.0492715459067
1957,final,0,NA,NA,France,Luxembourg,287.77922020582156,0
1957,final,6,NA,NA,France,Germany,400.03803650486225,0
1957,final,0,NA,NA,France,Italy,1106.5627294250526,0
1957,final,0,NA,NA,France,United Kingdom,340.7932919518243,33.164848951846
1957,final,0,NA,NA,France,Belgium,261.48260690909154,0
1957,final,0,NA,NA,France,Switzerland,439.7573597380393,0
1957,final,0,NA,NA,France,Austria,1034.4754078707626,148.37584260404788
1957,final,1,NA,NA,Germany,Netherlands,234.74312774541883,0
